trial_number,batch_size,lr,weight_decay,dropout_rate,fc_units,best_epoch,best_val_acc,best_val_loss,best_train_acc,best_train_loss,final_test_acc,train_size,val_size,test_size,total_epochs,early_stopped,timestamp
39,64,0.0007322076,1.2877e-05,0.2,256,9,0.90323,0.29114,0.986,0.04138,0.88889,1500,186,189,16,True,2025-12-29 20:22:41
40,32,0.0022027861,2.60686e-05,0.4,512,17,0.81183,0.44898,0.95267,0.14119,0.80423,1500,186,189,24,True,2025-12-29 20:26:26
41,32,0.0002314912,3.8767e-06,0.30000000000000004,512,23,0.94086,0.20768,1.0,0.00238,0.92593,1500,186,189,30,True,2025-12-29 20:31:04
42,32,0.0002606343,4.9547e-06,0.25,512,8,0.91398,0.3021,0.98867,0.04257,0.89947,1500,186,189,15,True,2025-12-29 20:33:24
43,32,0.0002944113,8.198e-06,0.30000000000000004,512,22,0.95161,0.23488,0.99667,0.01496,0.93122,1500,186,189,29,True,2025-12-29 20:37:57
44,64,6.28438e-05,0.0078765465,0.35000000000000003,512,4,0.92473,0.22304,0.99933,0.0056,0.89418,1500,186,189,11,True,2025-12-29 20:39:48
45,32,0.0001249261,1.4523e-06,0.30000000000000004,512,21,0.96237,0.17123,1.0,0.00259,0.95767,1500,186,189,28,True,2025-12-29 20:44:08
46,32,0.0003679326,2.7155e-06,0.25,256,7,0.91398,0.23939,0.98133,0.05385,0.89947,1500,186,189,14,True,2025-12-29 20:46:21
47,32,0.0002158375,5.3558e-06,0.35000000000000003,512,23,0.95161,0.17802,1.0,0.00151,0.92063,1500,186,189,30,True,2025-12-29 20:51:03
48,64,0.0010465522,5.1266e-05,0.30000000000000004,256,15,0.95161,0.27141,0.98667,0.04607,0.88889,1500,186,189,22,True,2025-12-29 20:54:32
49,32,0.0001412829,1.0167e-06,0.2,512,15,0.96774,0.11691,1.0,0.00155,0.96296,1500,186,189,22,True,2025-12-29 20:58:00
